主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20140606,20140402,府勞動字第10331212000號,日商立達大地工程股份有限公司台灣分公司,勞動基準法第9條第1項;勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第32條第2項;勞動基準法第36條,違反規定訂定定期契約;延長工作時間未依規定加給工資;正常工作時間超過法令規定;延長工作時間超過法令規定;每七日中未有一日之休息作為例假,,
台北市,20140606,20140402,府勞動字第10331212000號,日商立達大地工程股份有限公司台灣分公司,勞動基準法第9條第1項;勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第32條第2項;勞動基準法第36條,違反規定訂定定期契約;延長工作時間未依規定加給工資;正常工作時間超過法令規定;延長工作時間超過法令規定;每七日中未有一日之休息作為例假,,
