主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20160823,20150702,新北府勞檢字第1043061516號,美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20160823,20160329,新北府勞檢字第1053438816號,美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20170218,20161130,新北府勞檢字第1053471547號,美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台中市,20220504,20220217,府授勞動字第1110037440號,美食達人股份有限公司吳銘隆,勞動基準法第32條第2項,延長勞工工作時間超過法定限制,60000,
新北市,20160823,20150702,新北府勞檢字第1043061516號,美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20160823,20160329,新北府勞檢字第1053438816號,美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20170218,20161130,新北府勞檢字第1053471547號,美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台中市,20220504,20220217,府授勞動字第1110037440號,美食達人股份有限公司吳銘隆,勞動基準法第32條第2項,延長勞工工作時間超過法定限制,60000,
