主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20160324,20160120,北市勞動字第10531030900號,安國國際科技股份有限公司張琦棟,勞動基準法第30條第5項;勞動基準法第36條,未依規定置備勞工出勤紀錄;每七日中未有一日之休息作為例假,,
台北市,20250106,20241104,北市勞動字第11360952151號,安國國際科技股份有限公司羅森洲,勞動基準法第32條第2項;勞動基準法第24條第1項,延長工作時間超過法令規定;延長工作時間未依規定加給工資,100000,勞動部113年電子零組件製造業勞動條件專案檢查
