主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20160823,20160608,新北府勞檢字第10534481711號,傑明皇家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20160823,20160608,新北府勞檢字第10534481712號,傑明皇家保全股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20160823,20160608,新北府勞檢字第1053448171號,傑明皇家保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
桃園市,20170806,20170603,106年府勞檢字1060128525號,傑明皇家保全股份有限公司張寶亮,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,,
新北市,20181218,20180918,新北府勞檢字第10735814941號,傑明皇家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20181218,20180918,新北府勞檢字第1073581494號,傑明皇家保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
勞動部勞工保險局,20201210,20200821,保退一字第10969911085號,傑明皇家保全股份有限公司張寶亮,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,26093,
勞動部勞工保險局,20210217,20201023,保退一字第10969911105號,傑明皇家保全股份有限公司張寶亮,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13848,
新北市,20210618,20210401,新北府勞檢字第1104719873號,傑明皇家保全股份有限公司張寶亮,勞動基準法第23條第1項,工資未定期給付勞工或未提供勞工工資各項目計算方式明細,40000,
新北市,20160823,20160608,新北府勞檢字第10534481711號,傑明皇家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20160823,20160608,新北府勞檢字第10534481712號,傑明皇家保全股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20160823,20160608,新北府勞檢字第1053448171號,傑明皇家保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
桃園市,20170806,20170603,106年府勞檢字1060128525號,傑明皇家保全股份有限公司張寶亮,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,,
新北市,20181218,20180918,新北府勞檢字第10735814941號,傑明皇家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20181218,20180918,新北府勞檢字第1073581494號,傑明皇家保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
勞動部勞工保險局,20201210,20200821,保退一字第10969911085號,傑明皇家保全股份有限公司張寶亮,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,26093,
勞動部勞工保險局,20210217,20201023,保退一字第10969911105號,傑明皇家保全股份有限公司張寶亮,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13848,
新北市,20210618,20210401,新北府勞檢字第1104719873號,傑明皇家保全股份有限公司張寶亮,勞動基準法第23條第1項,工資未定期給付勞工或未提供勞工工資各項目計算方式明細,40000,
