主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
科技部新竹科學園區,20200505,20200316,竹環字第1090007755號,新唐科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過46小時,,
科技部新竹科學園區,20200505,20200316,竹環字第1090007755號,新唐科技股份有限公司,勞動基準法第36條第1項,未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,,
新竹縣,20231105,20230508,112年府勞資字1123932433號,新唐科技股份有限公司蘇源茂,性別平等工作法第21條,受僱者為育嬰留職停薪復職請求時，雇主不得拒絕。受僱者為前項之請求時，雇主不得視為缺勤而影響其全勤獎金、考績或為其他不利之處分。,,
科技部新竹科學園區,20200505,20200316,竹環字第1090007755號,新唐科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過46小時,,
科技部新竹科學園區,20200505,20200316,竹環字第1090007755號,新唐科技股份有限公司,勞動基準法第36條第1項,未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,,
新竹縣,20231105,20230508,112年府勞資字1123932433號,新唐科技股份有限公司蘇源茂,性別平等工作法第21條,受僱者為育嬰留職停薪復職請求時，雇主不得拒絕。受僱者為前項之請求時，雇主不得視為缺勤而影響其全勤獎金、考績或為其他不利之處分。,,
