主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20160830,20160608,北市勞動字第10530486700號,長華機電股份有限公司葉昌森,勞動基準法第24條;勞動基準法第30條第1項;勞動基準法第30條第6項;勞動基準法第39條,延長工作時間未依規定加給工資;正常工時超過法令規定;出勤紀錄未逐日記載勞工出勤情形至分鐘為止;假日工資未給或於休假日工作未依規定加給工資,,
台北市,20201105,20200907,北市勞動字第10960442081號,長華機電股份有限公司葉昌森,勞動基準法第32條第1項;勞動基準法第32條第2項,未經工會或勞資會議同意使勞工延長工時;延長工作時間超過法令規定,40000,
台北市,20220304,20220110,北市勞動字第11060865111號,長華機電股份有限公司葉昌森,勞動基準法第32條第2項;勞動基準法第24條第1項,延長工作時間超過法令規定;延長工作時間未依規定加給工資,70000,勞動部110年度多次違反勞動法令業者勞動條件專案
