主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20180201,20171201,北市勞動字第10639683000號,郁清國際股份有限公司牛妍妍,勞動基準法第22條第2項;勞動基準法第24條第1項;勞動基準法第24條第2項,工資未全額給付給勞工;延長工作時間未依規定加給工資;未依法給付休息日工作之工資,,
新北市,20170606,20170424,新北府勞檢字第10635632711號,郁清國際股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20170606,20170424,新北府勞檢字第10635632712號,郁清國際股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20170606,20170424,新北府勞檢字第1063563271號,郁清國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20180201,20171201,北市勞動字第10639683000號,郁清國際股份有限公司牛妍妍,勞動基準法第22條第2項;勞動基準法第24條第1項;勞動基準法第24條第2項,工資未全額給付給勞工;延長工作時間未依規定加給工資;未依法給付休息日工作之工資,,
新北市,20170606,20170424,新北府勞檢字第10635632711號,郁清國際股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20170606,20170424,新北府勞檢字第10635632712號,郁清國際股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20170606,20170424,新北府勞檢字第1063563271號,郁清國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
