主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20141215,20140609,府勞動字第10332512900號,大同奧的斯電梯股份有限公司,勞動基準法第30條第1項;勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第49條第1項,正常工作時間超過法令規定;延長工作時間不符法定要件;延長工作時間超過法令規定;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作,,
新北市,20161208,20160125,新北府勞檢字第1053432330號,大同奧的斯電梯股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
高雄市,20160518,20160219,高市勞條字第10530583100號,大同奧的斯電梯股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
台北市,20141215,20140609,府勞動字第10332512900號,大同奧的斯電梯股份有限公司,勞動基準法第30條第1項;勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第49條第1項,正常工作時間超過法令規定;延長工作時間不符法定要件;延長工作時間超過法令規定;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作,,
台北市,20141215,20140609,府勞動字第10332512900號,大同奧的斯電梯股份有限公司,勞動基準法第30條第1項;勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第49條第1項,正常工作時間超過法令規定;延長工作時間不符法定要件;延長工作時間超過法令規定;未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作,,
新北市,20161208,20160125,新北府勞檢字第1053432330號,大同奧的斯電梯股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
高雄市,20160518,20160219,高市勞條字第10530583100號,大同奧的斯電梯股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
