主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
嘉義縣,20190901,20190826,府授社勞資字第1080181750號,麗光科技股份有限公司,勞動基準法第24條,未依勞動基準法第24條規定給付延長工作時間工資。,,
嘉義縣,20240201,20240102,府勞資字第11203157771號,麗光科技股份有限公司邱士庭,勞動基準法第36條,未依勞動基準法第36條第1項規定每7日應有一日之休息作為例假。,50000,
嘉義縣,20240201,20240102,府勞資字第1120315777號,麗光科技股份有限公司邱士庭,勞動基準法第32條第2項,未依勞動基準法第32條第2項延長之工作時間，一日不超過12小時，一個月不得超過四十六小時。,50000,
嘉義縣,20190901,20190826,府授社勞資字第1080181750號,麗光科技股份有限公司,勞動基準法第24條,未依勞動基準法第24條規定給付延長工作時間工資。,,
嘉義縣,20240201,20240102,府勞資字第11203157771號,麗光科技股份有限公司邱士庭,勞動基準法第36條,未依勞動基準法第36條第1項規定每7日應有一日之休息作為例假。,50000,
嘉義縣,20240201,20240102,府勞資字第1120315777號,麗光科技股份有限公司邱士庭,勞動基準法第32條第2項,未依勞動基準法第32條第2項延長之工作時間，一日不超過12小時，一個月不得超過四十六小時。,50000,
