主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20151211,20150924,新北府勞檢字第10430700961號,傳動數位設計印刷有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,,
新北市,20151211,20150924,新北府勞檢字第1043070096號,傳動數位設計印刷有限公司,勞動基準法第21條第1項,未達基本工資,,
新北市,20170419,20170110,新北府勞資字第1060033761號,傳動數位設計印刷有限公司,勞動基準法第30條第6項,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,,
新北市,20171011,20170725,新北府勞資字第10614136381號,傳動數位設計印刷有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20171011,20170725,新北府勞資字第1061413638號,傳動數位設計印刷有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20151211,20150924,新北府勞檢字第10430700961號,傳動數位設計印刷有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,,
新北市,20151211,20150924,新北府勞檢字第1043070096號,傳動數位設計印刷有限公司,勞動基準法第21條第1項,未達基本工資,,
新北市,20170419,20170110,新北府勞資字第1060033761號,傳動數位設計印刷有限公司,勞動基準法第30條第6項,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,,
新北市,20171011,20170725,新北府勞資字第10614136381號,傳動數位設計印刷有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20171011,20170725,新北府勞資字第1061413638號,傳動數位設計印刷有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20190816,20180822,新北府勞檢字第10735787021號,傳動數位設計印刷有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,,
新北市,20190816,20180822,新北府勞檢字第1073578702號,傳動數位設計印刷有限公司,勞動基準法第23條第2項,未依規定置備工資清冊,,
台北市,20211206,20211021,北市勞動字第11060254751號,傳動數位設計印刷有限公司何佳昌,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,20000,勞動部110年度多次違反勞動法令業者勞動條件專案
