主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20170817,20170607,新北府勞檢字第10635689951號,詩芙儂國際企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20170817,20170607,新北府勞檢字第10635689952號,詩芙儂國際企業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20170817,20170607,新北府勞檢字第1063568995號,詩芙儂國際企業有限公司,勞動基準法第21條第1項,未達基本工資,,
台北市,20180402,20180208,北市勞動字第10730200200號,詩芙儂國際企業有限公司黃冠賢,勞動基準法第21條第1項;勞動基準法第39條,未達基本工資;假日工資未給或於休假日工作未依規定加給工資,,
台南市,20181110,20181015,府勞檢字第1071099274號,詩芙儂國際企業有限公司黃冠賢,勞動基準法第38條;勞動基準法第39條,未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資,,
新北市,20180420,20180221,新北府勞檢字第10735543041號,詩芙儂國際企業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20180420,20180221,新北府勞檢字第1073554304號,詩芙儂國際企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20170817,20170607,新北府勞檢字第10635689951號,詩芙儂國際企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20170817,20170607,新北府勞檢字第10635689952號,詩芙儂國際企業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20170817,20170607,新北府勞檢字第1063568995號,詩芙儂國際企業有限公司,勞動基準法第21條第1項,未達基本工資,,
台北市,20180402,20180208,北市勞動字第10730200200號,詩芙儂國際企業有限公司黃冠賢,勞動基準法第21條第1項;勞動基準法第39條,未達基本工資;假日工資未給或於休假日工作未依規定加給工資,,
台南市,20181110,20181015,府勞檢字第1071099274號,詩芙儂國際企業有限公司黃冠賢,勞動基準法第38條;勞動基準法第39條,未依規定給予特別休假;假日工資未給或於休假日工作未依規定加給工資,,
新北市,20180420,20180221,新北府勞檢字第10735543041號,詩芙儂國際企業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20180420,20180221,新北府勞檢字第1073554304號,詩芙儂國際企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20190220,20181210,新北府勞檢字第10735921581號,詩芙儂國際企業有限公司,勞動基準法第38條第1項,未依規定給予特別休假,,
新北市,20191220,20181210,新北府勞檢字第1073592158號,詩芙儂國際企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
彰化縣,20190705,20190319,府勞動字第1080070548號,詩芙儂國際企業有限公司黃冠賢,勞動基準法第38條,未依規定給予特別休假。,,
雲林縣,20190412,20190313,府勞動一字第1083404273號,詩芙儂國際企業有限公司,勞基法第21條第1項,薪資未達基本工資,,
