主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20181003,20180830,北市勞動字第10760397651號,天蔥國際股份有限公司甜蔥投資股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,,訴願駁回
宜蘭縣,20180910,20180726,府勞資字第1070106666號,天蔥國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20181003,20180830,北市勞動字第10760397651號,天蔥國際股份有限公司甜蔥投資股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,,訴願駁回
宜蘭縣,20180910,20180726,府勞資字第1070106666號,天蔥國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20181218,20180913,新北府勞檢字第10735817171號,天蔥國際股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20181218,20180913,新北府勞檢字第10735817172號,天蔥國際股份有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20181218,20180913,新北府勞檢字第1073581717號,天蔥國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20200824,20190821,新北府勞檢字第10842712511號,天蔥國際股份有限公司盧俊賢,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20200622,20190821,新北府勞檢字第1084271251號,天蔥國際股份有限公司,勞動基準法第23條第1項,工資未定期給付勞工,,
