主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
高雄市,20140627,20140403,高市勞條字第10331507700號,新成龍企業有限公司,勞動基準法第22條第2項;勞動基準法第30條第5項,工資未全額直接給付勞工;未依規定置備勞工出勤紀錄表,,
高雄市,20191209,20191017,高市勞條字第10837932900號,新成龍企業有限公司張琮韋,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,,
高雄市,20191209,20191017,高市勞條字第10837932900號,新成龍企業有限公司張琮韋,勞動基準法第24條;勞動基準法第32條第2項,延長工作時間未依規定加給工資;延長工作時間超過法令規定,,
