主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新竹縣,20190105,20181012,107年府勞資字1073914550號,北視有限電視股份有限公司,勞動基準法第24條第1項;勞動基準法第24條第2項;勞動基準法第39條,雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平..;雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又...;假日工資未給或於休假日工作未依規定加給工資,,
新竹縣,20190105,20181012,107年府勞資字1073914550號,北視有限電視股份有限公司,勞動基準法第24條第1項;勞動基準法第24條第2項;勞動基準法第39條,雇主延長勞工工作時間者，其延長工作時間之工資，依下列標準加給：一、延長工作時間在二小時以內者，按平..;雇主使勞工於第三十六條所定休息日工作，工作時間在二小時以內者，其工資按平日每小時工資額另再加給一又...;假日工資未給或於休假日工作未依規定加給工資,,
