主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20211012,20210823,保退一字第11069911085號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,4653,
勞動部勞工保險局,20220610,20220427,保退一字第11169911045號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17592,
勞動部勞工保險局,20220810,20220627,保退一字第11169911065號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,32731,
勞動部勞工保險局,20221011,20220824,保退一字第11169911085號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,29036,
勞動部勞工保險局,20221212,20221026,保退一字第11169911105號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17748,
勞動部勞工保險局,20230210,20221227,保退一字第11169911125號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17441,
勞動部勞工保險局,20230410,20230222,保退一字第11269911025號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13496,
勞動部勞工保險局,20230612,20230426,保退一字第11269911045號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,11202,
勞動部勞工保險局,20230810,20230626,保退一字第11269911065號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,8242,
勞動部勞工保險局,20231011,20230824,保退一字第11269911085號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3168,
勞動部勞工保險局,20231211,20231026,保退一字第11269911105號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3168,
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,623,
勞動部勞工保險局,20211012,20210823,保退一字第11069911085號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,4653,
勞動部勞工保險局,20220610,20220427,保退一字第11169911045號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17592,
勞動部勞工保險局,20220810,20220627,保退一字第11169911065號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,32731,
勞動部勞工保險局,20221011,20220824,保退一字第11169911085號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,29036,
勞動部勞工保險局,20221212,20221026,保退一字第11169911105號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17748,
勞動部勞工保險局,20230210,20221227,保退一字第11169911125號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17441,
勞動部勞工保險局,20230410,20230222,保退一字第11269911025號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13496,
勞動部勞工保險局,20230612,20230426,保退一字第11269911045號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,11202,
勞動部勞工保險局,20230810,20230626,保退一字第11269911065號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,8242,
勞動部勞工保險局,20231011,20230824,保退一字第11269911085號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3168,
勞動部勞工保險局,20231211,20231026,保退一字第11269911105號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3168,
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,利威顧問股份有限公司徐崇耀,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,623,
