主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20190703,20190530,北市勞動字第10860101131號,淘哇哇有限公司TANAKAYUKARI,勞動基準法第32條第2項;勞動基準法第36條第1項,延長工作時間超過法令規定;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,,
台北市,20220207,20211209,北市勞動字第11060862281號,淘哇哇有限公司TANAKAYUKARI,勞動基準法第35條;勞動基準法第24條第2項,勞工繼續工作四小時未給予至少三十分鐘之休息;未依法給付休息日工作之工資,40000,
台北市,20220207,20211209,北市勞動字第11060862281號,淘哇哇有限公司TANAKAYUKARI,勞動基準法第35條;勞動基準法第24條第2項,勞工繼續工作四小時未給予至少三十分鐘之休息;未依法給付休息日工作之工資,40000,
