主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20160729,20150930,府勞動字第10435031900號,遠東國際商業銀行股份有限公司侯金英,勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第39條;勞動基準法第49條第1項,延長勞工工作時間未經工會或勞資會議同意;延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作,,更一審行政訴訟;行政訴訟原告之訴駁回(原處分維持)
高雄市,20170808,20170223,高市勞條字第10631413300號,遠東國際商業銀行股份有限公司侯金英,勞動基準法第24條,延長工作時間未依規定加給工資。,,
桃園市,20180503,20180305,107年府勞檢字1070048318號,遠東國際商業銀行股份有限公司侯金英,勞基法第24條第1項,延長工作時間未依規定加給工資,,行政救濟中
台北市,20190703,20190510,北市勞動字第10860273611號,遠東國際商業銀行股份有限公司侯金英,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20220406,20220221,北市勞動字第11160040671號,遠東國際商業銀行股份有限公司侯金英,勞動基準法第24條第1項,延長工作時間未依規定加給工資,50000,
