主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20240215,20231213,保退三字第11260199900號,北斗保全股份有限公司逄日文,勞工退休金條例第15條第2項,雇主未依規定覈實申報調整勞工退休金提繳工資。,5000,
台南市,20230410,20230303,南市勞安字第1120268849號,北斗保全股份有限公司許家濱,勞動基準法第30條第6項,未逐日記載勞工出勤情形至分鐘為止。,20000,
國家科學及技術委員會南部科學園區,20230803,20230718,南環字第1120020569C號,北斗保全股份有限公司逄日文,性別工作平等法第13條第2項,雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施。,,
國家科學及技術委員會南部科學園區,20250417,20250417,南環字第1140013351號,北斗保全股份有限公司,勞基法第22條第2項,工資未全額給付,20000,
