主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
加工出口區管理處,20181105,20181029,經加四勞字第1070105793號,泰宣企業股份有限公司,勞基法第36條第1項,使勞工連續出勤工作超過7天以上,,
加工出口區管理處,20190107,20181211,經加四勞字第1070106707號,泰宣企業股份有限公司,勞基法第32條;勞基法第36條,"使勞工1個月延長工時超過46小時,未依規定勞工每7日中應有2日之休息，其中1日為例假，1日為休息日。",,
科技部南部科學工業園區,20201121,20200914,南環字第1090024725號,泰宣企業股份有限公司,勞動基準法第32條第2項;勞動基準法第36條第1項,超時加班;7日內未給予1日休息,40000,
國家科學及技術委員會南部科學園區,20221214,20220727,南環字第1110022579號,泰宣企業股份有限公司宋秉恩,勞動基準法第24條第1項;勞動基準法第32條第2項,未給付延長工時之工資;月延長工時逾46小時,60000,
科技部南部科學工業園區,20220510,20220207,南環字第1110003759A號,泰宣企業股份有限公司宋秉恩,勞動基準法第32條第2項,前項雇主延長勞工之工作時間連同正常工作時間，一日不得超過十二小時；延長之工作時間，一個月不得超過四十六小時，但雇主經工會同意，如事業單位無工會者，經勞資會議同意後，延長之工作時間，一個月不得超過五十四小時，每三個月不得超過一百三十八小時。,20000,
科技部新竹科學園區,20220305,20220214,竹環字第1110005212A號,泰宣企業股份有限公司宋秉恩,勞動基準法第24條第1項,延長工作時間之工資未依法令標準加給,20000,
科技部新竹科學園區,20220305,20220214,竹環字第1110005212B號,泰宣企業股份有限公司宋秉恩,勞動基準法第32條第2項,延長工時超過法令規定。,20000,
國家科學及技術委員會南部科學園區,20240625,20240618,南環字第1130018887A號,泰宣企業股份有限公司,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第34條第2項,「充填獎金」及「夜點費」，係屬工資，未列入勞工延長工時之每小時工資額計算加班費;使勞工有一日工作時間逾12小時;更換班次時，其班次間距之休息時間未達連續11小時。,60000,
國家科學及技術委員會南部科學園區,20250124,20241016,南環字第1130033173號,泰宣企業股份有限公司黃福森,職業安全衛生設施規則第281條第1項；營造安全衛生設施標準第6條第1項,勞工於艾爾斯公司1樓天花板上方現勘作業，未確實使用安全帶，從高3.8公尺墜落。勞工現勘作業前，為實施危害調查、評估及未採適當防護設施，致勞工發生墜落職業災害。,,
國家科學及技術委員會南部科學園區,20250226,20250226,南環字第1140006809號,泰宣企業股份有限公司,勞基法第24條;勞基法第32條第2項,短付加班費;延長工時逾一個月46小時,120000,
加工出口區管理處,20181105,20181029,經加四勞字第1070105793號,泰宣企業股份有限公司,勞基法第36條第1項,使勞工連續出勤工作超過7天以上,,
加工出口區管理處,20190107,20181211,經加四勞字第1070106707號,泰宣企業股份有限公司,勞基法第32條;勞基法第36條,"使勞工1個月延長工時超過46小時,未依規定勞工每7日中應有2日之休息，其中1日為例假，1日為休息日。",,
科技部南部科學工業園區,20201121,20200914,南環字第1090024725號,泰宣企業股份有限公司,勞動基準法第32條第2項;勞動基準法第36條第1項,超時加班;7日內未給予1日休息,40000,
國家科學及技術委員會南部科學園區,20221214,20220727,南環字第1110022579號,泰宣企業股份有限公司宋秉恩,勞動基準法第24條第1項;勞動基準法第32條第2項,未給付延長工時之工資;月延長工時逾46小時,60000,
科技部南部科學工業園區,20220510,20220207,南環字第1110003759A號,泰宣企業股份有限公司宋秉恩,勞動基準法第32條第2項,前項雇主延長勞工之工作時間連同正常工作時間，一日不得超過十二小時；延長之工作時間，一個月不得超過四十六小時，但雇主經工會同意，如事業單位無工會者，經勞資會議同意後，延長之工作時間，一個月不得超過五十四小時，每三個月不得超過一百三十八小時。,20000,
科技部新竹科學園區,20220305,20220214,竹環字第1110005212A號,泰宣企業股份有限公司宋秉恩,勞動基準法第24條第1項,延長工作時間之工資未依法令標準加給,20000,
科技部新竹科學園區,20220305,20220214,竹環字第1110005212B號,泰宣企業股份有限公司宋秉恩,勞動基準法第32條第2項,延長工時超過法令規定。,20000,
國家科學及技術委員會南部科學園區,20240625,20240618,南環字第1130018887A號,泰宣企業股份有限公司,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第34條第2項,「充填獎金」及「夜點費」，係屬工資，未列入勞工延長工時之每小時工資額計算加班費;使勞工有一日工作時間逾12小時;更換班次時，其班次間距之休息時間未達連續11小時。,60000,
國家科學及技術委員會南部科學園區,20250124,20241016,南環字第1130033173號,泰宣企業股份有限公司黃福森,職業安全衛生設施規則第281條第1項；營造安全衛生設施標準第6條第1項,勞工於艾爾斯公司1樓天花板上方現勘作業，未確實使用安全帶，從高3.8公尺墜落。勞工現勘作業前，為實施危害調查、評估及未採適當防護設施，致勞工發生墜落職業災害。,,
國家科學及技術委員會南部科學園區,20250226,20250226,南環字第1140006809號,泰宣企業股份有限公司,勞基法第24條;勞基法第32條第2項,短付加班費;延長工時逾一個月46小時,120000,
國家科學及技術委員會南部科學園區,20250418,20250418,南環字第1140013563號,泰宣企業股份有限公司,勞基法第30條第6項,未逐日記載勞工出勤情形至分鐘,20000,
