主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20151211,20150922,新北府勞檢字第10430699211號,九連環境開發股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20151211,20150922,新北府勞檢字第1043069921號,九連環境開發股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
桃園市,20170706,20170519,106年府勞檢字1060118345號,九連環境開發股份有限公司小川常行,勞基法第32條第2項,延長工作時間超過法令規定,,
新北市,20151211,20150922,新北府勞檢字第10430699211號,九連環境開發股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20151211,20150922,新北府勞檢字第1043069921號,九連環境開發股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
桃園市,20170706,20170519,106年府勞檢字1060118345號,九連環境開發股份有限公司小川常行,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20180807,20180629,107年府勞檢字1070153684號,九連環境開發股份有限公司小川常行,勞基法第24條第1項,雇主未依規定給付延長工作時間之工資,,
