主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
高雄市,20190307,20190114,高市勞條字第10830137200號,香港商法華香水化粧品有限公司台灣分公司丹格斯,勞動基準法第36條;勞動基準法第39條,未使勞工每七日中有二日之休息，其中一日為例假，一日為休息日;假日工資未給或於休假日工作未依規定加給工資,,
台北市,20240805,20240619,北市勞動字第11360064541號,香港商法華香水化粧品有限公司台灣分公司簡艾睿ArielJaneGENTZBOURGER,勞動基準法第32條第2項;勞動基準法第24條第1項,延長工作時間超過法令規定;延長工作時間未依規定加給工資,40000,
