主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
科技部新竹科學園區,20170305,20170106,竹環字第1060000809號,巨擘科技股份有限公司,勞動基準法第22條第2項,工資未全額給付,,
科技部新竹科學園區,20170705,20170515,竹環字第1060013305A號,巨擘科技股份有限公司,勞動基準法第39條,休假日出勤工資未依規定加倍發給,,
科技部新竹科學園區,20170705,20170515,竹環字第1060013305B號,巨擘科技股份有限公司,勞動基準法第56條第2項,雇主應於次年度三月底前一次提撥其差額,,
苗栗縣,20170705,20170601,府勞資字第1060101752號,巨擘科技股份有限公司,勞動基準法第39條,國定假日出勤工資未加倍發給,,
苗栗縣,20170705,20170623,府勞資字第1060119449號,巨擘科技股份有限公司,勞動基準法第39條,國定假日出勤工資未加倍發給,,
科技部新竹科學園區,20180505,20180209,竹環字第1070005775號,巨擘科技股份有限公司,勞動基準法第27條,未依限期給付工資,,
科技部新竹科學園區,20180705,20180608,竹環字第1070017363號,巨擘科技股份有限公司,勞動基準法第56條第2項,雇主應於次年度三月底前一次提撥其差額,,
科技部新竹科學園區,20190705,20190701,竹環字第1080019175號,巨擘科技股份有限公司,勞動基準法第56條第2項,雇主應於次年度三月底前一次提撥其差額,,
科技部新竹科學園區,20200705,20200618,竹環字第1090017453號,巨擘科技股份有限公司祁甡,勞動基準法第56條第2項,"未於次年度3月底前,一次提撥年度內預估退休金額不足之差額",450000,
國家科學及技術委員會新竹科學園區,20230701,20210518,竹環字第1120018609號,巨擘科技股份有限公司邱丕良,勞動基準法第56條第2項,"未於次年度3月底前,一次提撥年度內預估退休金額不足之差額",450000,
科技部新竹科學園區,20210705,20210518,竹環字第1100014561號,巨擘科技股份有限公司邱丕良,勞動基準法第56條第2項,"未於次年度3月底前,一次提撥年度內預估退休金額不足之差額",450000,
科技部新竹科學園區,20211105,20210917,竹環字第1100027786號,巨擘科技股份有限公司邱丕良,勞動基準法第22條第2項,工資未全額直接給付給勞工。,20000,
科技部新竹科學園區,20220505,20220318,竹環字第1110009256A號,巨擘科技股份有限公司邱丕良,勞動基準法第55條,未依法給付退休金,300000,
科技部新竹科學園區,20220505,20220408,竹環字第1110011417號,巨擘科技股份有限公司邱丕良,勞動基準法第27條,未依限期給付工資,40000,
科技部新竹科學園區,20220705,20220606,竹環字第1110017968號,巨擘科技股份有限公司邱丕良,勞動基準法第56條第2項,勞動基準法第56條第2項,360000,
國家科學及技術委員會新竹科學園區,20240705,20240527,竹環字第1130017392號,巨擘科技股份有限公司邱丕良,勞動基準法第56條第2項,"未於次年度3月底前,一次提撥年度內預估退休金額不足之差額",450000,
